Date,Close,Open,High,Low,Volume
2020-06-08,838.52,826.79,845.63,826.79,155920.0
2020-06-09,837.02,839.19,843.58,836.13,152490.0
2020-06-10,839.11,836.8,842.21,827.6,164040.0
2020-06-11,806.87,839.11,842.76,806.64,191850.0
2020-06-12,807.76,803.11,807.76,782.7,183060.0
2020-06-15,778.71,808.58,813.59,778.71,141900.0
2020-06-16,798.82,779.8,801.42,779.8,84860.0
2020-06-17,796.43,798.82,802.06,793.2,76200.0
2020-06-18,797.08,795.84,800.03,788.72,58890.0
2020-06-19,808.28,797.21,808.28,797.03,81050.0
2020-06-22,809.97,808.58,812.99,805.24,68480.0
2020-06-23,807.61,809.53,812.24,803.96,95810.0
2020-06-24,801.62,807.9,813.47,799.35,74690.0
2020-06-25,796.51,801.29,801.29,791.38,74550.0
2020-06-26,795.53,796.7,803.88,793.08,53640.0
2020-06-29,774.81,795.11,795.11,768.99,97110.0
2020-06-30,770.53,774.84,784.44,765.62,74260.0
2020-07-01,786.82,770.23,787.38,770.02,56960.0
2020-07-02,785.59,786.82,788.88,781.45,54060.0
2020-07-03,789.87,785.81,790.3,785.81,43300.0
2020-07-06,803.46,790.08,803.76,790.08,74210.0
2020-07-07,805.68,803.61,812.48,803.61,87360.0
2020-07-08,805.06,805.67,807.09,801.57,52130.0
2020-07-09,817.08,805.12,819.45,805.12,81030.0
2020-07-10,809.02,816.76,817.67,806.67,71220.0
2020-07-13,806.17,809.03,814.35,802.5,65610.0
2020-07-14,805.37,805.21,805.92,798.21,60120.0
2020-07-15,810.16,805.38,815.09,805.38,53470.0
2020-07-16,819.83,810.16,819.83,809.41,64519.99999999999
2020-07-17,814.16,819.27,819.27,812.61,65440.0
2020-07-20,803.36,814.0,814.0,803.36,69310.0
2020-07-21,804.7,803.55,806.34,799.98,62630.0
2020-07-22,797.85,804.26,806.93,797.82,65220.0
2020-07-23,800.29,797.85,800.29,794.59,73620.0
2020-07-24,772.29,798.89,798.89,760.56,142230.0
2020-07-27,729.93,767.3,767.3,726.02,127330.0
2020-07-28,756.17,730.55,757.5,730.55,106760.0
2020-07-29,735.16,755.14,755.14,722.85,95380.0
2020-07-30,746.02,735.3,746.74,735.3,51150.0
