Date; close 
27/09/2022;1182
28/09/2022;1161
29/09/2022;1147
30/09/2022;1152
03/10/2022;1102
04/10/2022;1098
05/10/2022;1117
06/10/2022;1081
07/10/2022;1040
10/10/2022;1039
11/10/2022;1002
12/10/2022;1035
13/10/2022;1051
14/10/2022;1061
17/10/2022;1047
18/10/2022;1059
19/10/2022;1054
20/10/2022;1053
21/10/2022;1011
24/10/2022;974
25/10/2022;992
26/10/2022;990
27/10/2022;1029
28/10/2022;1029
31/10/2022;1027
01/11/2022;1038
02/11/2022;1025
03/11/2022;1024
04/11/2022;998
07/11/2022;973
08/11/2022;980
09/11/2022;980
10/11/2022;937
11/11/2022;949
14/11/2022;936
15/11/2022;905
16/11/2022;940
17/11/2022;971
18/11/2022;971
21/11/2022;957
22/11/2022;946
23/11/2022;939
24/11/2022;941
25/11/2022;967
28/11/2022;1004
29/11/2022;1029
30/11/2022;1049
01/12/2022;1043
02/12/2022;1093
05/12/2022;1111
06/12/2022;1054
07/12/2022;1048
08/12/2022;1063
09/12/2022;1065
12/12/2022;1037
13/12/2022;1056
14/12/2022;1056
15/12/2022;1068
16/12/2022;1064
19/12/2022;1050
20/12/2022;1030
21/12/2022;1033
22/12/2022;1038
23/12/2022;1034
26/12/2022;988
27/12/2022;1007
28/12/2022;1014
29/12/2022;1008
30/12/2022;1005
03/01/2023;1047
04/01/2023;1050
05/01/2023;1062
06/01/2023;1057
09/01/2023;1061
10/01/2023;1061
11/01/2023;1065
12/01/2023;1066
13/01/2023;1070
16/01/2023;1076
17/01/2023;1104
18/01/2023;1116
19/01/2023;1122
27/01/2023;1131
30/01/2023;1114
31/01/2023;1125
01/02/2023;1088
02/02/2023;1093
